employed,bank_balance,annual_salary,DEFAULT,log_bank_balance,log_annual_salary,balance_to_salary,employed_x_log_salary
1,8754.36,532339.56,0,9.07742136323494,13.18503871389087,0.016445067505409517,13.18503871389087
0,9806.16,145273.56,0,9.190868010136363,11.88638074820012,0.06750134023011482,0.0
1,12882.6,381205.68,0,9.46371046371022,12.8510969742183,0.03379435479555289,12.8510969742183
1,6351.0,428453.88,0,8.756525002926972,12.967940713926204,0.014823065670452091,12.967940713926204
1,9427.92,461562.0,0,9.151536840966857,13.042373834984161,0.020426118267968335,13.042373834984161
0,11035.08,89898.72,0,9.308925184314164,11.406450105883115,0.12275013481838229,0.0
1,9906.12,298862.76,0,9.201008969547296,12.607743096357915,0.033146050046516336,12.607743096357915
0,9704.04,211205.4,0,9.180400617181428,12.260591133385418,0.045945984335627785,0.0
1,13932.72,449622.36,0,9.542067080655853,13.016165533507259,0.030987604797946437,13.016165533507259
1,0.0,351303.24,0,0.0,12.769407907637389,0.0,12.769407907637389
0,0.0,262452.84,0,0.0,12.477830497931762,0.0,0.0
0,14646.96,159222.72,0,9.592056355602393,11.978065536268645,0.09199038931127416,0.0
1,2844.6,339020.4,0,7.953529220634246,12.73381851121383,0.008390645518676751,12.73381851121383
1,7280.88,539934.72,0,8.89314434961031,13.19920537441795,0.013484741266499773,13.19920537441795
1,13355.64,285722.04,0,9.499768918453974,12.56277822899951,0.04674347138218669,12.56277822899951
1,3434.76,540508.92,0,8.14199343200338,13.200268269269483,0.006354677735938197,13.200268269269483
1,0.0,603183.72,0,0.0,13.309978763790047,0.0,13.309978763790047
0,6330.48,211638.48,0,8.753289295076545,12.262639540012593,0.02991176273804272,0.0
1,5831.28,738793.32,0,8.67116328350994,13.512774839134734,0.007892978783294901,13.512774839134734
1,13140.84,317575.56,0,9.483556312676654,12.668474202105054,0.04137862497983157,12.668474202105054
1,2747.4,606002.16,0,7.918774203156921,13.314640479559309,0.004533647206802035,13.314640479559309
1,11451.12,389490.12,0,9.345930144682143,12.872596345573488,0.029400283632355043,12.872596345573488
1,12671.52,615814.56,0,9.447191148565816,13.330702782097445,0.02057684378232304,13.330702782097445
1,7703.76,365593.2,0,8.949593598664286,12.809279254103688,0.021071945539468458,12.809279254103688
1,9278.52,412239.72,0,9.135565100304577,12.929362729555985,0.022507583694264106,12.929362729555985
1,10260.12,302535.96,0,9.236117274560417,12.619958730807625,0.03391372053755196,12.619958730807625
1,7716.0,497682.12,0,8.951180966457603,13.117718848257821,0.01550387223073234,13.117718848257821
